id,Provider,Policy,Algorithm,Zones,Acs,TankThreshold,WalkingThreshold,pThreshold,TypeS,TypeE,kwh,AvgWalkedDistance,MedianWalkedDistance,AvgWalkedDistanceGlobal,MedianWalkedDistanceGlobal,AvgSOC,MedianSOC,AmountRecharge,AmountRechargeForced,AmountRechargeForcedFail,AmountRechargeBestEffort,AmountRechargePerc,AvgTimeInStation,MedianTimeInStation,Deaths,Reroute,ReroutePerc,ReroutePercofRecharge,LazyUsersPerc,AvgStationOccupancy,TravelWithPenlaty,Deahts
1,car2go,Hybrid,max-parking,6,4,25,1000000,100,125224,125224,2,2388.78,2030.0,791.37,0.0,20.03,6.82,44854,41485,43816,3369,35.82,2320.34,564.0,39493,41485,33.13,92.49,1,0.9,795.4378140000001,31.537884111671882
3,car2go,Hybrid,max-parking,8,4,25,1000000,100,125224,125224,2,2389.67,2030.0,658.88,0.0,30.72,24.45,39142,34527,27409,4615,31.26,3288.99,723.0,16086,34527,27.57,88.21,1,0.88,664.367019,12.845780361592027
5,car2go,Hybrid,max-parking,10,4,25,1000000,100,125224,125224,2,2306.72,1852.0,397.5,0.0,43.03,37.88,29809,21579,8520,8230,23.8,4998.23,1426.0,2094,21579,17.23,72.39,1,0.8,407.30285599999996,1.672203411486616
7,car2go,Hybrid,max-parking,12,4,25,1000000,100,125224,125224,2,2238.02,1611.0,188.44,0.0,51.0,47.16,23615,10544,819,13071,18.86,6822.65,2070.0,80,10544,8.42,44.65,1,0.7,204.10128400000002,0.06388551715326135
9,car2go,Hybrid,max-parking,14,4,25,1000000,100,125224,125224,2,2244.23,1611.0,101.17,0.0,55.53,53.42,22733,5645,59,17088,18.15,7420.57,2279.0,2,5645,4.51,24.83,1,0.65,121.674773,0.0015971379288315338
11,car2go,Hybrid,max-parking,16,4,25,1000000,100,125224,125224,2,2156.36,1523.0,62.37,0.0,58.83,57.79,24201,3622,0,20579,19.33,6752.09,2143.0,1,3622,2.89,14.97,1,0.6,86.978804,0.0007985689644157669
13,car2go,Hybrid,max-parking,18,4,25,1000000,100,125224,125224,2,2260.66,1611.0,40.94,0.0,62.69,62.86,26292,2268,0,24024,21.0,6502.99,2010.0,0,2268,1.81,8.63,1,0.56,69.702946,0.0
15,car2go,Hybrid,max-parking,20,4,25,1000000,100,125224,125224,2,2296.47,1611.0,26.52,0.0,66.78,68.22,28568,1446,0,27122,22.81,6274.18,1921.0,0,1446,1.15,5.06,1,0.53,58.899404999999994,0.0
17,car2go,Hybrid,max-parking,22,4,25,1000000,100,125224,125224,2,2103.85,1611.0,15.17,0.0,70.33,72.63,30474,903,0,29571,24.34,6347.64,1932.0,0,903,0.72,2.96,1,0.51,50.57772,0.0
19,car2go,Hybrid,max-parking,24,4,25,1000000,100,125224,125224,2,2151.8,1611.0,11.39,0.0,72.69,75.55,33120,663,0,32457,26.45,6226.09,1864.0,0,663,0.53,2.0,1,0.48,50.28454,0.0
21,car2go,Hybrid,max-parking,26,4,25,1000000,100,125224,125224,2,2198.14,1612.0,7.11,0.0,75.85,79.17,35486,405,0,35081,28.34,6136.43,1854.0,0,405,0.32,1.14,1,0.46,49.064048,0.0
23,car2go,Hybrid,max-parking,28,4,25,1000000,100,125224,125224,2,1971.39,1523.0,5.24,0.0,77.62,81.04,37861,333,0,37528,30.23,5977.61,1834.0,0,333,0.27,0.88,1,0.44,50.262753000000004,0.0
25,car2go,Hybrid,max-parking,30,4,25,1000000,100,125224,125224,2,2220.34,1523.0,4.27,0.0,79.23,82.82,39913,241,0,39672,31.87,5986.82,1840.5,0,241,0.19,0.6,1,0.43,51.738645999999996,0.0
