id,Provider,Policy,Algorithm,Zones,Acs,TankThreshold,WalkingThreshold,pThreshold,TypeS,TypeE,kwh,AvgWalkedDistance,MedianWalkedDistance,AvgWalkedDistanceGlobal,MedianWalkedDistanceGlobal,AvgSOC,MedianSOC,AmountRecharge,AmountRechargeForced,AmountRechargeForcedFail,AmountRechargeBestEffort,AmountRechargePerc,AvgTimeInStation,MedianTimeInStation,Deaths,Reroute,ReroutePerc,ReroutePercofRecharge,LazyUsersPerc,AvgStationOccupancy,TravelWithPenlaty,Deahts
26,car2go,Needed,max-parking,6,4,25,1000000,0,125224,125224,2,2391.58,2030.0,808.17,0.0,18.89,6.18,44297,44297,45182,0,35.37,2311.93,567.0,40250,42316,33.79,95.53,1,0.88,810.484882,32.14240081773462
27,car2go,Needed,max-parking,8,4,25,1000000,0,125224,125224,2,2393.5,2030.0,709.23,0.0,28.6,22.45,39186,39186,28853,0,31.29,3226.17,720.0,16859,37106,29.63,94.69,1,0.86,711.68405,13.463074171085415
28,car2go,Needed,max-parking,10,4,25,1000000,0,125224,125224,2,2273.01,1852.0,519.42,0.0,38.07,31.9,30702,30702,11434,0,24.52,4738.58,1400.0,3143,28616,22.85,93.21,1,0.77,521.8877850000001,2.5099022551587553
29,car2go,Needed,max-parking,12,4,25,1000000,0,125224,125224,2,2234.69,1612.0,378.15,0.0,43.21,36.46,23623,23623,3307,0,18.86,6538.35,2365.0,344,21190,16.92,89.7,1,0.65,381.01954800000004,0.2747077237590238
30,car2go,Needed,max-parking,14,4,25,1000000,0,125224,125224,2,2218.54,1611.0,320.51,0.0,44.7,37.81,20768,20768,959,0,16.58,7459.77,3068.0,84,18091,14.45,87.11,1,0.58,323.77403,0.06707979301092443
31,car2go,Needed,max-parking,16,4,25,1000000,0,125224,125224,2,2141.76,1611.0,296.88,0.0,44.14,37.17,20636,20636,425,0,16.48,7710.12,3275.0,47,17358,13.86,84.12,1,0.53,300.777936,0.037532741327541044
32,car2go,Needed,max-parking,18,4,25,1000000,0,125224,125224,2,2148.68,1611.0,265.93,0.0,44.78,37.93,18881,18881,145,0,15.08,8662.63,3754.0,25,15498,12.38,82.08,1,0.48,270.056584,0.019964224110394172
33,car2go,Needed,max-parking,20,4,25,1000000,0,125224,125224,2,2175.58,1611.0,255.51,0.0,44.91,38.06,18458,18458,63,0,14.74,8970.68,3909.0,21,14707,11.74,79.68,1,0.45,259.913092,0.016769948252731107
34,car2go,Needed,max-parking,22,4,25,1000000,0,125224,125224,2,1959.96,1611.0,201.77,0.0,45.56,38.94,16956,16956,0,0,13.54,10373.23,4333.5,4,12891,10.29,76.03,1,0.42,206.554884,0.0031942758576630676
35,car2go,Needed,max-parking,24,4,25,1000000,0,125224,125224,2,1934.55,1611.0,178.46,0.0,45.97,39.4,15547,15547,0,0,12.42,11254.66,4925.0,5,11552,9.23,74.3,1,0.4,183.343965,0.003992844822078834
36,car2go,Needed,max-parking,26,4,25,1000000,0,125224,125224,2,1941.9,1611.0,162.02,0.0,46.14,39.82,14601,14601,0,0,11.66,12671.67,5516.0,3,10448,8.34,71.56,1,0.39,166.93446,0.002395706893247301
37,car2go,Needed,max-parking,28,4,25,1000000,0,125224,125224,2,1926.99,1611.0,153.02,0.0,46.47,40.13,14237,14237,0,0,11.37,12856.97,5628.0,6,9944,7.94,69.85,1,0.37,158.148006,0.004791413786494602
38,car2go,Needed,max-parking,30,4,25,1000000,0,125224,125224,2,1949.91,1611.0,143.93,0.0,46.86,40.72,13516,13516,0,0,10.79,14440.09,6000.0,0,9243,7.38,68.39,1,0.36,149.018358,0.0
